mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.510611343383789,0.17784549376592645,0.0426363468170166,0.003877420808583443,,2,"{'max_depth': None, 'min_samples_split': 2}",0.8425458306902136,0.8458646627566535,0.836856655612088,0.8365796522859953,0.8442037842116754,0.8412101171113251,0.0038158826019925986,12
6.270921945571899,0.2591130524749147,0.04119691848754883,0.005840224896479062,,5,"{'max_depth': None, 'min_samples_split': 5}",0.857591412566941,0.861260732262108,0.8527644322408956,0.854787952587135,0.859882115913717,0.8572573291141593,0.0031404552857049717,11
6.140921020507813,0.13090639597104142,0.04242243766784668,0.004838783600210464,,10,"{'max_depth': None, 'min_samples_split': 10}",0.8795543549397269,0.8812908736981908,0.8748045298469433,0.8790456896610953,0.8821200191766861,0.8793630934645286,0.002539086622923882,7
2.8991025924682616,0.07564723785867247,0.03919706344604492,0.003397208878769944,5,2,"{'max_depth': 5, 'min_samples_split': 2}",0.8575368013577006,0.8577085432394745,0.8580849823456854,0.8546510585467042,0.8591480031630473,0.8574258777305224,0.0014961256794120792,10
2.9100778102874756,0.08129651605768219,0.04211735725402832,0.0020043786391258102,5,5,"{'max_depth': 5, 'min_samples_split': 5}",0.8575368013577006,0.8577085432394745,0.8580849823456854,0.8550738685311152,0.8591480031630473,0.8575104397274046,0.0013407857664525108,8
2.8419658184051513,0.02002599750422241,0.041943359375,0.007258118537372236,5,10,"{'max_depth': 5, 'min_samples_split': 10}",0.8575368013577006,0.8577085432394745,0.8580589147711591,0.8547446148517436,0.8591480031630473,0.857439375476625,0.001459240584725682,9
4.476662063598633,0.10168941970839998,0.038311433792114255,0.002304477690387465,10,2,"{'max_depth': 10, 'min_samples_split': 2}",0.9196877399123304,0.9198605392989334,0.9160669553558906,0.9177718941233779,0.9198071024620526,0.918638846230517,0.0015049095094886078,3
4.360242509841919,0.09719248356386434,0.040611791610717776,0.004856391844317071,10,5,"{'max_depth': 10, 'min_samples_split': 5}",0.920249444735425,0.9194902756539571,0.9158717679768446,0.9179231886921229,0.9197082781819281,0.9186485910480556,0.0015894060068260476,2
4.286545038223267,0.08879513311078077,0.03937473297119141,0.0031968224486208226,10,10,"{'max_depth': 10, 'min_samples_split': 10}",0.9199029279734383,0.9193684325100007,0.9161523007415131,0.9176774894963068,0.9202619182752109,0.918672613799294,0.001540517812299225,1
5.768387126922607,0.10535581756926998,0.03831682205200195,0.0013778138651469173,20,2,"{'max_depth': 20, 'min_samples_split': 2}",0.9007130412279757,0.8985061588551382,0.898108082678261,0.8972634890743664,0.8980945618913132,0.8985370667454109,0.001160832305409,6
5.633891487121582,0.31191154646623154,0.03817310333251953,0.009097890367094385,20,5,"{'max_depth': 20, 'min_samples_split': 5}",0.9045129970279773,0.9053139049327275,0.9027606577315107,0.9041729672905456,0.9026334827385527,0.9038788019442627,0.0010343426557270954,5
4.54824538230896,0.4407099700691862,0.022102546691894532,0.0022039224882982205,20,10,"{'max_depth': 20, 'min_samples_split': 10}",0.913600783955166,0.9122840282355174,0.9105308371970737,0.9142031813793774,0.9118079179404065,0.9124853497415082,0.0013049676242215917,4
