mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10.167110300064087,0.9163138586232014,0.14099278450012206,0.0104661922325962,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.8860505860437249,0.880243219569913,0.8858070676075376,0.8885213524959436,0.8875748659902545,0.8856394183414746,0.002876373703462403,15
9.707252979278564,0.7951109680993247,0.15947093963623046,0.03478507462093951,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.8862213311571787,0.8791726694463899,0.8879111052349975,0.883653335066005,0.8862761687447833,0.8846469219298708,0.0030575401013673014,16
17.260838413238524,1.259956128363158,0.16311945915222167,0.0068876357509759616,0.01,3,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9066919895126373,0.9000735395067779,0.9016535765340636,0.9017741744129989,0.9023953660754637,0.9025177292083884,0.0022232012369407896,13
16.900193309783937,0.9869873337342728,0.18239316940307618,0.02383389131083718,0.01,3,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9058076125533358,0.898977893864221,0.9028250150016849,0.9013269934981248,0.9005889219113077,0.9019052873657347,0.0023113163052141845,14
13.175275611877442,1.1219601500514726,0.19847187995910645,0.0227259669212986,0.01,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9076203800697215,0.9022849407236718,0.9039671182839915,0.9041990034457376,0.9044639731667153,0.9045070831379676,0.0017331398272843212,11
11.73271198272705,0.8914405868794572,0.16872105598449708,0.02882773585833178,0.01,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.906122524976015,0.9009091595418505,0.9033381136803469,0.90328162171691,0.903790374054299,0.9034883587938843,0.001658169309053444,12
25.55519571304321,1.6188292910998174,0.46712546348571776,0.193567049068949,0.01,5,200,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9173935455268363,0.9117136393475619,0.9131259694959315,0.9148178482933771,0.9149950428668643,0.9144092091061141,0.0019146410249972874,9
24.74918179512024,2.0618908087027634,0.28807497024536133,0.09556908601831228,0.01,5,200,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9178572224439483,0.9111266911876561,0.9126313768052922,0.9142633494049512,0.9127677576632593,0.9137292795010215,0.0022903503707944798,10
11.930931186676025,0.9148536221274511,0.21298141479492189,0.13969067498248902,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9294824042788548,0.92527754743294,0.9269725749426535,0.9266534068696574,0.9268562500932107,0.9270484367234634,0.0013608075717030546,8
10.826866817474365,0.6713595968791123,0.14158186912536622,0.01174977205926617,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9311293799132285,0.9255212022990847,0.925695043855526,0.9275041167706688,0.9269846609133257,0.9273668807503668,0.002025975973604279,7
17.725715160369873,1.6330484115510258,0.18065166473388672,0.02689852280903054,0.1,3,200,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9374648456702935,0.9336135016908891,0.933589162122593,0.9344650074912072,0.9343434879784599,0.9346952009906886,0.0014311546453380447,5
15.033818578720092,1.3381884786061562,0.19019742012023927,0.03456096303309742,0.1,3,200,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9370368047924996,0.9323637532221453,0.9321985319043652,0.9336444182588729,0.9330726701558048,0.9336632356667376,0.0017643186843168909,6
12.09645323753357,0.6801108773913951,0.20966434478759766,0.030330434079783895,0.1,5,100,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.9405333568407623,0.9375278580161728,0.9385392259080313,0.938458959981487,0.9376405282101219,0.938539985791315,0.0010782875751519875,3
10.663906955718994,0.9190437213104624,0.17635784149169922,0.025692707146078377,0.1,5,100,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.9398104887367077,0.9371028471767102,0.9371354833542042,0.9381656395476756,0.9371068603404716,0.937864263831154,0.0010548132591555568,4
19.32454123497009,1.166678801187037,0.23931550979614258,0.023202402892693253,0.1,5,200,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9467300902296557,0.9440425018380687,0.9445515355005804,0.9443853691135039,0.9439699007802552,0.9447358794924128,0.0010199228065500626,1
16.884350728988647,1.926502874301208,0.20906419754028321,0.05520468338072462,0.1,5,200,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9455716728610334,0.9428513968630936,0.9427193693745776,0.9426365584819385,0.9425272610903129,0.9432612517341912,0.001160055793062771,2
