mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
47.8899908542633,0.19986076179967344,1.5636419773101806,0.08979620842826286,,sqrt,100,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.9531702964114227,0.9519776504921508,0.9511494805420482,0.9499029812842983,0.9510130368454116,0.9514426891150662,0.0010873898279490282,2
96.13035192489625,1.5503217605012602,2.8451525211334228,0.25720096219176813,,sqrt,200,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.9538800222206361,0.9527897356226871,0.9520370348493203,0.9509238478278684,0.952175426544696,0.9523612134130417,0.0009691274225046172,1
43.68769907951355,0.8712310810984492,2.172121286392212,0.5034344225788405,,log2,100,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",0.9486856951178605,0.9469620449756111,0.945897895876493,0.9453434807729593,0.9473243231898316,0.9468426879865511,0.0011647444566468379,5
76.32676601409912,1.69941568143435,2.91660680770874,0.5064935631983494,,log2,200,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 200}",0.9492575053708526,0.9479446455693652,0.9473055763202446,0.9464815519073378,0.9479648901085735,0.9477908338552747,0.0009115671178589493,3
30.158861112594604,1.224212359197405,2.64066596031189,2.1168353578465906,10,sqrt,100,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.9273622327265635,0.9213484019286597,0.9226946649802444,0.9223882531570566,0.9225468893769638,0.9232680884338975,0.0021009648459151555,9
59.99081716537476,0.33396343978996385,1.3617119789123535,0.2187820642674095,10,sqrt,200,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.9271309283373596,0.9218288617154369,0.9226329155148338,0.9224707289101277,0.9219291328950713,0.9231985134745658,0.001990011611739554,10
19.174798202514648,3.014695417988664,1.4018173217773438,0.2967336130741653,10,log2,100,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.9144971827108639,0.9063717082922005,0.9051107925330234,0.9064877867600768,0.908579937405983,0.9082094815404295,0.0033351443911838153,12
35.91769137382507,0.5276291332642854,1.8303589344024658,0.4310303317014003,10,log2,200,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",0.9140948818814523,0.9096310359593651,0.9061906750599019,0.9080520192745468,0.9093856024544281,0.9094708429259389,0.002614850886424617,11
42.279780054092406,0.6768058429733017,1.9266307353973389,0.14707916329396536,20,sqrt,100,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.9490640151861679,0.9456838493325366,0.9457864096045637,0.9459176691110072,0.9465470088542199,0.946599790417699,0.0012681494784675016,6
80.47994337081909,1.3047611751921908,2.125937557220459,0.3449992411943262,20,sqrt,200,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.949111474054869,0.9462102477447236,0.9460393247742038,0.9464709740647218,0.9465642790150851,0.9468792599307208,0.0011315262784223504,4
29.512195682525636,2.4729121273772074,1.7894117832183838,0.27643702395983116,20,log2,100,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",0.940191793310218,0.9361695368636626,0.9359163922292529,0.936701739441386,0.9375173539457574,0.9372993631580554,0.00154660546493293,8
40.15414423942566,0.715292404515876,0.8628363609313965,0.35625747697874965,20,log2,200,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 200}",0.9408721348331174,0.9374151062372085,0.9366050830953423,0.9382808018817417,0.9382993183428756,0.9382944888780571,0.0014333091121550385,7
